;Dane zostały wygenerowane przy użyciu AI;;;;;;;;
;Produkty łączą się po kolumnie Produkt ID z tabelą sprzedaży;;;;;;;;
;;;;;;;;;
;Tabela:;;;;;;;;
;;;;;;;;;
Produkt ID;Nazwa produktu;Dział- Kategoria;Kategoria_funkcjonalna;Sezonowosc;Dostawca;Styl;Segment_cenowy;Producent;Dominujacy_kolor
1;Zestaw Atlas;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;czarny
2;Zestaw Pixel;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;fioletowy
3;Zestaw Sable;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;brązowy
4;Zestaw Solace;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;brązowy
5;Zestaw Solace-2;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;brązowy
6;Zestaw Solace-2;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;ND
7;Zestaw Glint;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;czarny
8;Zestaw Atlas-2;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;czarny
9;Zestaw Zetta;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;ND
10;Zegarek Zephyr;U_ Zegarek;Akcesoria;Całoroczne;StyleGroup;Lifestyle;PREMIUM;ChronoWorks;fioletowy
11;Zegarek Atlas;U_ Zegarek;Akcesoria;Całoroczne;StyleGroup;Lifestyle;PREMIUM;ChronoWorks;fioletowy
12;Zegarek Fjord;U_ Zegarek;Akcesoria;Całoroczne;StyleGroup;Lifestyle;PREMIUM;ChronoWorks;brązowy
13;Zegarek Onda;U_ Zegarek;Akcesoria;Całoroczne;StyleGroup;Lifestyle;PREMIUM;ChronoWorks;żółty
14;Zegarek Onda;U_ Zegarek;Akcesoria;Całoroczne;StyleGroup;Lifestyle;PREMIUM;ChronoWorks;fioletowy
15;Zawieszka Crest;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;żółty
16;Zawieszka Muse;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;fioletowy
17;Zawieszka Delta;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;brązowy
18;Zawieszka Prism;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;brązowy
19;Zawieszka Prism;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;ND
20;Zawieszka Mistral;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;ND
21;Woda toaletowa Noir;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;fioletowy
22;Woda toaletowa Pulse;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;brązowy
23;Woda toaletowa Nimbus;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;czarny
24;Woda toaletowa Vesper;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;fioletowy
25;Woda toaletowa Beryl;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;czarny
26;Woda toaletowa Cinder;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;żółty
27;Woda toaletowa Rocca;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;czarny
28;Woda toaletowa Prism;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;czarny
29;Woda toaletowa Boreal;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;czarny
30;Woda toaletowa Ravel;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;ND
31;Woda toaletowa Vista;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;ND
32;Woda toaletowa Carmine;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;brązowy
33;Woda toaletowa Nimbus-2;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;brązowy
34;Woda toaletowa Nimbus-3;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;brązowy
35;Ubranko Indigo;U_ Akcesoria;Akcesoria;Całoroczne;ModaPolska;Lifestyle;Niska cena;Assorted Brands;brązowy
36;Tunika Atlas;K_ Sukienki;Odzież górna;Wiosna/Lato;UrbanWear;Formalny;PREMIUM;Eleganza;brązowy
37;Tunika Atlas;K_ Sukienki;Odzież górna;Wiosna/Lato;UrbanWear;Formalny;PREMIUM;Eleganza;brązowy
38;Tunika Atlas;K_ Sukienki;Odzież górna;Wiosna/Lato;UrbanWear;Formalny;PREMIUM;Eleganza;fioletowy
39;Tunika Atlas;K_ Sukienki;Odzież górna;Wiosna/Lato;UrbanWear;Formalny;PREMIUM;Eleganza;ND
40;Tunika Carmine;K_ Sukienki;Odzież górna;Wiosna/Lato;UrbanWear;Formalny;PREMIUM;Eleganza;fioletowy
41;Tunika Carmine;K_ Sukienki;Odzież górna;Wiosna/Lato;UrbanWear;Formalny;PREMIUM;Eleganza;fioletowy
42;Tunika Carmine;K_ Sukienki;Odzież górna;Wiosna/Lato;UrbanWear;Formalny;PREMIUM;Eleganza;ND
43;Tunika Carmine;K_ Sukienki;Odzież górna;Wiosna/Lato;UrbanWear;Formalny;PREMIUM;Eleganza;żółty
44;Torba Modo;K_ Torba;Akcesoria;Całoroczne;Eleganza;Miejski;Standard;CarryAll;czarny
45;Torba Aria;K_ Torba;Akcesoria;Całoroczne;Eleganza;Miejski;Standard;CarryAll;ND
46;Torba Glint;K_ Torba;Akcesoria;Całoroczne;Eleganza;Miejski;Standard;CarryAll;ND
47;Torba Vista;K_ Torba;Akcesoria;Całoroczne;Eleganza;Miejski;Standard;CarryAll;ND
48;Torba Vista;K_ Torba;Akcesoria;Całoroczne;Eleganza;Miejski;Standard;CarryAll;fioletowy
49;Torba Nesta;K_ Torba;Akcesoria;Całoroczne;Eleganza;Miejski;Standard;CarryAll;żółty
